postalcode,work_location,employee_count
C0A 1T0,"Elmer Blanchard Building",3
C0A 1T0,"Forestry Dept- Southhampton-St",3
C0A 1T0,"Forestry Queens",2
C0A 1T0,"Frank Gaudet Nursery",4
C0A 1T0,"Georgetown Government Garage",9
C0A 1T0,"Government House",1
C0A 1T0,"Holman Building (Ch'town)",1
C0A 1T0,"Innovation PEI",1
C0A 1T0,"Liquor Control Commission",3
C0A 1T0,"Montague",1
C0A 1T0,"Montague Library",2
C0A 1T0,"Morell Library",2
C0A 1T0,"Mt. Stewart Highway Labs",4
C0A 1T0,"Mt. Stewart Library",2
C0A 1T0,"Murchison House",1
C0A 1T0,"Northumberland Park",1
C0A 1T0,"Oak Tree Place",2
C0A 1T0,"Orwell Corner Museum",1
C0A 1T0,"Provincial Admin Building",27
C0A 1T0,"Provincial Correctional Centre",4
C0A 1T0,"Queen Street Liquor Store",1
C0A 1T0,"Red Point Park",1
C0A 1T0,"Red Road Homes",8
C0A 1T0,"Sherwood Business Centre",3
C0A 1T0,"Southern Kings & Queens RSC",2
C0A 1T0,"St. Peters Library",1
C0A 1T0,"Undefined Location",1
C0A 1T0,"West Royalty Industrial Park",1
C0A 1T0,"Red Road Homes",1
C0A 1V0,"Bridgetown Goverment Garage",1
C0A 1V0,"Forestry Dept- Southhampton-St",1
C0A 1V0,"Georgetown Government Garage",2
C0A 1V0,"King's Castle Park",3
C0A 1V0,"Montague",1
C0A 1V0,"Provincial Admin Building",3
C0A 1V0,"Red Road Homes",1
C0A 1V0,"Souris",1
C0A 1V0,"Southern Kings & Queens RSC",1
C0A 1V0,"VisitorInfo.Centre WoodIslands",2
C0A 1W0,"22 Hunt Court",1
C0A 1W0,"548 Main St., Montague",2
C0A 1W0,"Bridgetown Goverment Garage",2
C0A 1W0,"Brudenell Admin Office",1
C0A 1W0,"Brudenell Golf",2
C0A 1W0,"Ch'Town Government Garage",5
C0A 1W0,"Frank Gaudet Nursery",1
C0A 1W0,"Georgetown Government Garage",7
C0A 1W0,"King's Castle Park",3
C0A 1W0,"Montague Cannabis Store",1
C0A 1W0,"Murray Harbour/River Libraries",2
C0A 1W0,"Northumberland Park",2
C0A 1W0,"Pamure Island Park",1
C0A 1W0,"Provincial Admin Building",7
C0A 1W0,"Provincial Correctional Centre",1
C0A 1W0,"Southern Kings & Queens RSC",4
C0A 1W0,"VisitorInfo.Centre WoodIslands",3
C0A 1X0,"185 Beach Grove Road",1
C0A 1X0,"Ch'Town Government Garage",2
C0A 1X0,"Education Technology Centre",1
C0A 1X0,"Government House",1
C0A 1X0,"North Rustico Liquor Store",1
C0A 1X0,"Provincial Admin Building",4
C0A 1X0,"Provincial Correctional Centre",3
C0A 1X0,"Summerside Government Garage",1
C0A 1X0,"Summerside Youth Centre",1
C0A 1Y0,"185 Beach Grove Road",2
C0A 1Y0,"22 Hunt Court",1
C0A 1Y0,"40A Burns Ave.",1
C0A 1Y0,"40B Burns Ave.",1
C0A 1Y0,"51-53 Water Street",1
C0A 1Y0,"Atlantic Technology Centre",1
C0A 1Y0,"Beaconsfield Historic House",1
C0A 1Y0,"Bradalbane Library",1
C0A 1Y0,"Brookvale Ski Resort",3
C0A 1Y0,"Ch'Town Government Garage",9
C0A 1Y0,"Coles Building",1
C0A 1Y0,"Elmer Blanchard Building",1
C0A 1Y0,"Holman Centre (Summerside)",2
C0A 1Y0,"Liquor Control Commission",1
C0A 1Y0,"May Point Plaza",1
C0A 1Y0,"Potato Service Building",1
C0A 1Y0,"Provincial Admin Building",22
C0A 1Y0,"Provincial Correctional Centre",1
C0A 1Y0,"Red Road Homes",1
C0A 1Y0,"Sherwood Business Centre",4
C0A 1Y0,"SirLouisHenryDaviesLawCourt",1
C0A 1Y0,"Summerside Government Garage",1
C0A 1Y0,"West Prince Regional Serv. Ctr",1
C0A 1Y0,"West Royalty Liquor Store",1
C0A 1Z0,"Charlottetown",1
C0A 1Z0,"Orwell Corner Museum",1
C0A 2A0,"40B Burns Ave.",1
C0A 2A0,"548 Main St., Montague",2
C0A 2A0,"Atlantic Technology Centre",1
C0A 2A0,"Basin Head Museum/Elmira",1
C0A 2A0,"Basin Head Park",1
C0A 2A0,"Bridgetown Goverment Garage",5
C0A 2A0,"Brudenell Admin Office",1
C0A 2A0,"Brudenell Golf",2
C0A 2A0,"Ch'Town Government Garage",1
C0A 2A0,"Crowbush Golf Course",7
C0A 2A0,"Douses Road",1
C0A 2A0,"Dundarave",3
C0A 2A0,"Eastern Kings Regional Service",1
C0A 2A0,"Elmer Blanchard Building",1
C0A 2A0,"Georgetown Government Garage",17
C0A 2A0,"Johnny Ross Young RSC",2
C0A 2A0,"Morell Library",2
C0A 2A0,"Mt. Stewart Highway Labs",2
C0A 2A0,"Murray Harbour/River Libraries",1
C0A 2A0,"Orwell Corner Museum",1
C0A 2A0,"Provincial Admin Building",8
C0A 2A0,"Provincial Correctional Centre",1
C0A 2A0,"Red Point Park",1
C0A 2A0,"Sherwood Business Centre",2
C0A 2A0,"Souris Visitor Information Cen",1
C0A 2A0,"Southern Kings & Queens RSC",1
C0A 2A0,"St. Peters Library",1
C0A 2B0,"22 Hunt Court",1
C0A 2B0,"40A Burns Ave.",1
C0A 2B0,"548 Main St., Montague",3
C0A 2B0,"Basin Head Museum/Elmira",5
C0A 2B0,"Basin Head Park",4
C0A 2B0,"Bridgetown Goverment Garage",8
C0A 2B0,"Brudenell Admin Office",1
C0A 2B0,"Brudenell Golf",1
C0A 2B0,"Cardigan Bus Depot",1
C0A 2B0,"Ch'Town Government Garage",1
C0A 2B0,"Coles Building",1
C0A 2B0,"Crowbush Golf Course",5
C0A 2B0,"Customs House",2
C0A 2B0,"Dundarave",1
