postalcode,work_location,employee_count,latitude,longitude
C0A 1H0,Red Road Homes,2,46.235,-63.2168
C0A 1H0,Sherwood Business Centre,8,46.235,-63.2168
C0A 1H0,SirLouisHenryDaviesLawCourt,2,46.235,-63.2168
C0A 1H0,Stratford Liquor Store,1,46.235,-63.2168
C0A 1H0,Summerside Government Garage,1,46.235,-63.2168
C0A 1H0,West Royalty Industrial Park,1,46.235,-63.2168
C0A 1H0,West Royalty Liquor Store,2,46.235,-63.2168
C0A 1H1,40B Burns Ave.,1,46.2405,-62.8677
C0A 1H1,Atlantic Technology Centre,1,46.2405,-62.8677
C0A 1H1,Beaconsfield Historic House,1,46.2405,-62.8677
C0A 1H1,Chelton Park,1,46.2405,-62.8677
C0A 1H1,Child & Family  Services,1,46.2405,-62.8677
C0A 1H1,Ch'Town Government Garage,3,46.2405,-62.8677
C0A 1H1,Elmer Blanchard Building,1,46.2405,-62.8677
C0A 1H1,Highway Safety Charlottetown,2,46.2405,-62.8677
C0A 1H1,Holman Building (Ch'town),1,46.2405,-62.8677
C0A 1H1,Holman Centre (Summerside),1,46.2405,-62.8677
C0A 1H1,Potato Service Building,1,46.2405,-62.8677
C0A 1H1,Provincial Admin Building,13,46.2405,-62.8677
C0A 1H1,SirLouisHenryDaviesLawCourt,1,46.2405,-62.8677
C0A 1H1,Summerside Youth Centre,1,46.2405,-62.8677
C0A 1H2,197 Richmond Street/Ctrown Att,1,46.2405,-62.8677
C0A 1H2,Ch'Town Government Garage,3,46.2405,-62.8677
C0A 1H2,Confederation Centre,1,46.2405,-62.8677
C0A 1H2,Cornwall Liquor Store,1,46.2405,-62.8677
C0A 1H2,Forestry Queens,1,46.2405,-62.8677
C0A 1H2,Holland College Royalty Centre,1,46.2405,-62.8677
C0A 1H2,Provincial Admin Building,6,46.2405,-62.8677
C0A 1H2,Red Road Homes,1,46.2405,-62.8677
C0A 1H2,Sherwood Business Centre,2,46.2405,-62.8677
C0A 1H2,Tyne Valley Child/Youth Dev Hl,1,46.2405,-62.8677
C0A 1H3,22 Hunt Court,1,46.2405,-62.8677
C0A 1H3,40 Enman Crescent,2,46.2405,-62.8677
C0A 1H3,40B Burns Ave.,1,46.2405,-62.8677
C0A 1H3,Access PEI - Summerside,3,46.2405,-62.8677
C0A 1H3,Atlantic Technology Centre,1,46.2405,-62.8677
C0A 1H3,Brudenell Golf,1,46.2405,-62.8677
C0A 1H3,Ch'Town Government Garage,1,46.2405,-62.8677
C0A 1H3,Coles Building,1,46.2405,-62.8677
C0A 1H3,Comm & Corr Services,1,46.2405,-62.8677
C0A 1H3,Frank Gaudet Nursery,1,46.2405,-62.8677
C0A 1H3,Highway Safety Charlottetown,1,46.2405,-62.8677
C0A 1H3,Provincial Admin Building,15,46.2405,-62.8677
C0A 1H3,Provincial Correctional Centre,2,46.2405,-62.8677
C0A 1H3,Red Road Homes,1,46.2405,-62.8677
C0A 1H3,Sherwood Business Centre,2,46.2405,-62.8677
C0A 1H3,SirLouisHenryDaviesLawCourt,1,46.2405,-62.8677
C0A 1H3,Summerside Cannabis Store,1,46.2405,-62.8677
C0A 1H3,Summerside Youth Centre,1,46.2405,-62.8677
C0A 1H4,40B Burns Ave.,2,46.2405,-62.8677
C0A 1H4,557 North River Rd.,1,46.2405,-62.8677
C0A 1H4,Access PEI - Summerside,1,46.2405,-62.8677
C0A 1H4,Atlantic Technology Centre,2,46.2405,-62.8677
C0A 1H4,Aubin Arsenault Bldg,1,46.2405,-62.8677
C0A 1H4,Bradalbane Library,1,46.2405,-62.8677
C0A 1H4,Charlottetown,1,46.2405,-62.8677
C0A 1H4,Charlottetown Cannabis Store,1,46.2405,-62.8677
C0A 1H4,Coles Building,2,46.2405,-62.8677
C0A 1H4,Customs House,1,46.2405,-62.8677
C0A 1H4,Elmer Blanchard Building,2,46.2405,-62.8677
C0A 1H4,Highway Safety Charlottetown,3,46.2405,-62.8677
C0A 1H4,Holman Centre (Summerside),3,46.2405,-62.8677
C0A 1H4,Liquor Control Commission,1,46.2405,-62.8677
C0A 1H4,Potato Service Building,1,46.2405,-62.8677
C0A 1H4,Provincial Admin Building,15,46.2405,-62.8677
